name,source,servings,ingredients_resolved,coverage_pct,listed_kcal,computed_kcal_per_serving,kcal_diff_pct,listed_P,computed_P,p_diff_pct,listed_C,computed_C,c_diff_pct,listed_F,computed_F,f_diff_pct,status,worst_variance,unresolved
Moong Dal Cheela,indian-meals.ts,3,9/9,100%,280.0,264.8,-5.4,18.0,16.7,-7.4,32.0,45.9,43.4,8.0,2.6,-68.0,VARIANCE,68.0,
Masala Omelette with Multigrain Toast,indian-meals.ts,1,11/11,100%,380.0,489.3,28.8,24.0,29.7,23.5,30.0,41.2,37.2,18.0,23.3,29.7,VARIANCE,37.2,
Besan Chilla with Mint Chutney,indian-meals.ts,2,12/13,92%,300.0,238.6,-20.5,16.0,11.9,-25.6,28.0,35.3,26.2,14.0,5.8,-58.3,VARIANCE,58.3,Ajwain (carom seeds) (no USDA mapping)
Poha with Peanuts,indian-meals.ts,2,13/14,93%,360.0,520.4,44.6,16.0,15.4,-4.0,48.0,72.4,50.9,12.0,20.9,73.8,VARIANCE,73.8,Curry leaves (8.0 leaves → can't convert to grams)
Dalia Khichdi,indian-meals.ts,1,9/9,100%,310.0,511.7,65.0,14.0,22.6,61.2,50.0,96.5,93.0,6.0,6.8,12.6,VARIANCE,93.0,
Paneer Bhurji with Roti,indian-meals.ts,2,12/12,100%,420.0,403.7,-3.9,24.0,19.9,-17.0,38.0,32.0,-15.8,18.0,22.9,27.0,VARIANCE,27.0,
Idli Sambar,indian-meals.ts,1,11/13,85%,290.0,1688.9,482.4,10.0,62.8,528.1,52.0,265.8,411.2,4.0,42.0,950.2,VARIANCE,950.2,Drumstick (cut into pieces) (no USDA mapping); Curry leaves (8.0 leaves → can't convert to grams)
Ragi Dosa with Coconut Chutney,indian-meals.ts,1,12/13,92%,320.0,838.9,162.2,16.0,22.6,41.6,42.0,116.7,177.8,10.0,31.8,218.3,VARIANCE,218.3,Curry leaves (6.0 leaves → can't convert to grams)
Upma with Vegetables,indian-meals.ts,1,13/16,81%,340.0,816.4,140.1,14.0,26.8,91.3,44.0,147.5,235.1,12.0,12.8,6.4,VARIANCE,235.1,Curry leaves (8.0 leaves → can't convert to grams); Cashews (5.0 pieces → can't convert to grams); Roasted cashews (10.0 pieces → can't convert to grams)
Pesarattu,indian-meals.ts,3,8/9,89%,260.0,298.0,14.6,16.0,17.1,6.8,34.0,53.3,56.9,6.0,2.6,-57.0,VARIANCE,57.0,Ginger (1.0 inch piece → can't convert to grams)
Dal Tadka + Brown Rice + Cucumber Raita,indian-meals.ts,1,13/14,93%,480.0,688.9,43.5,20.0,27.1,35.3,68.0,122.1,79.5,12.0,10.9,-9.6,VARIANCE,79.5,Cucumber (grated) (0.5 medium → can't convert to grams)
