name,source,servings,status,reason,listed_calories,edamam_kcal_total,edamam_kcal_per_serving,kcal_diff_pct,listed_protein_g,edamam_P_per_serving,p_diff_pct,listed_carbs_g,edamam_C_per_serving,c_diff_pct,listed_fat_g,edamam_F_per_serving,f_diff_pct
Moong Dal Cheela,indian-meals.ts,3,VARIANCE,,280.0,125.3,41.8,-85.1,18.0,1.7,-90.4,32.0,6.1,-80.9,8.0,1.7,-78.6
Masala Omelette with Multigrain Toast,indian-meals.ts,1,VARIANCE,,380.0,479.2,479.2,26.1,24.0,29.5,23.0,30.0,42.3,41.1,18.0,21.8,20.8
Besan Chilla with Mint Chutney,indian-meals.ts,2,VARIANCE,,300.0,490.8,245.4,-18.2,16.0,12.5,-21.6,28.0,36.9,31.8,14.0,5.9,-58.1
Poha with Peanuts,indian-meals.ts,2,VARIANCE,,360.0,1610.6,805.3,123.7,16.0,21.8,36.5,48.0,145.8,203.7,12.0,14.9,23.8
Dalia Khichdi,indian-meals.ts,1,VARIANCE,,310.0,131.3,131.3,-57.7,14.0,5.0,-64.6,50.0,19.1,-61.8,6.0,4.9,-18.0
Paneer Bhurji with Roti,indian-meals.ts,2,VARIANCE,,420.0,1202.8,601.4,43.2,24.0,27.8,16.0,38.0,61.3,61.4,18.0,27.9,55.0
Idli Sambar,indian-meals.ts,1,VARIANCE,,290.0,535.2,535.2,84.5,10.0,36.7,266.6,52.0,55.8,7.4,4.0,18.8,369.1
Ragi Dosa with Coconut Chutney,indian-meals.ts,1,VARIANCE,,320.0,918.8,918.8,187.1,16.0,28.6,78.8,42.0,128.4,205.7,10.0,33.1,230.7
Upma with Vegetables,indian-meals.ts,1,VARIANCE,,340.0,1171.0,1171.0,244.4,14.0,38.7,176.6,44.0,172.5,292.1,12.0,37.9,215.8
Pesarattu,indian-meals.ts,3,VARIANCE,,260.0,238.7,79.6,-69.4,16.0,2.6,-83.7,34.0,14.6,-57.2,6.0,1.8,-69.9
Dal Tadka + Brown Rice + Cucumber Raita,indian-meals.ts,1,VARIANCE,,480.0,685.3,685.3,42.8,20.0,23.0,15.0,68.0,121.2,78.2,12.0,13.7,13.9
Rajma Chawal,indian-meals.ts,1,VARIANCE,,460.0,1164.8,1164.8,153.2,18.0,52.7,192.7,72.0,214.8,198.4,10.0,13.1,31.1
Chole + Multigrain Roti,indian-meals.ts,2,VARIANCE,,440.0,1374.0,687.0,56.1,18.0,30.5,69.2,60.0,110.1,83.5,14.0,16.3,16.7
Chicken Curry + Brown Rice,indian-meals.ts,1,VARIANCE,,520.0,1133.1,1133.1,117.9,38.0,60.0,57.9,52.0,108.4,108.4,16.0,51.7,223.3
Fish Curry + Steamed Rice,indian-meals.ts,1,VARIANCE,,450.0,927.7,927.7,106.2,32.0,52.5,64.2,50.0,97.4,94.7,12.0,38.3,218.9
Palak Paneer + Roti,indian-meals.ts,2,VARIANCE,,440.0,1308.0,654.0,48.6,24.0,29.2,21.7,38.0,62.4,64.1,20.0,33.0,65.2
Mixed Sabzi + Dal + Roti,indian-meals.ts,2,VARIANCE,,420.0,901.1,450.6,7.3,16.0,16.2,1.1,60.0,70.6,17.7,12.0,12.4,3.5
Egg Curry + Jeera Rice,indian-meals.ts,1,VARIANCE,,480.0,765.0,765.0,59.4,22.0,30.4,38.3,54.0,104.0,92.6,18.0,25.7,42.8
Grilled Tandoori Chicken + Salad,indian-meals.ts,2,VARIANCE,,350.0,731.9,366.0,4.6,42.0,23.4,-44.3,10.0,14.9,48.6,14.0,24.4,74.5
Dal Palak + Multigrain Roti,indian-meals.ts,1,VARIANCE,,380.0,1075.9,1075.9,183.1,20.0,55.1,175.4,52.0,172.3,231.4,10.0,21.6,115.7
Paneer Tikka + Green Salad,indian-meals.ts,1,VARIANCE,,360.0,821.5,821.5,128.2,26.0,47.1,81.2,14.0,39.0,178.8,22.0,56.0,154.7
Moong Dal Khichdi + Papad,indian-meals.ts,1,VARIANCE,,340.0,410.7,410.7,20.8,14.0,8.7,-38.1,54.0,81.8,51.4,8.0,5.3,-33.9
Chicken Tikka + Raita,indian-meals.ts,2,VARIANCE,,340.0,481.5,240.7,-29.2,40.0,31.6,-21.1,8.0,8.7,8.8,16.0,8.7,-45.3
Baingan Bharta + Roti,indian-meals.ts,2,VARIANCE,,460.0,1365.0,682.5,48.4,24.0,28.8,19.8,46.0,91.8,99.6,20.0,25.2,26.0
Roasted Makhana,indian-meals.ts,1,VARIANCE,,120.0,252.9,252.9,110.7,4.0,10.0,149.5,18.0,42.0,133.3,4.0,5.5,38.7
Sprouts Chaat,indian-meals.ts,1,VARIANCE,,180.0,175.9,175.9,-2.3,12.0,3.4,-71.5,28.0,39.6,41.3,2.0,2.6,30.3
Masala Chaas,indian-meals.ts,2,VARIANCE,,75.0,126.1,63.0,-16.0,6.0,3.5,-41.1,8.0,5.7,-29.0,2.0,3.1,56.7
Roasted Chana,indian-meals.ts,2,VARIANCE,,160.0,761.5,380.8,138.0,10.0,20.6,105.8,24.0,63.7,165.4,3.0,6.1,104.5
Fruit Chaat with Chaat Masala,indian-meals.ts,2,OK,,170.0,308.0,154.0,-9.4,4.0,4.4,10.3,32.0,31.8,-0.5,3.0,2.7,-8.5
Paneer Tikka Bites,indian-meals.ts,2,VARIANCE,,220.0,534.5,267.3,21.5,16.0,16.0,-0.3,6.0,4.1,-31.2,16.0,21.1,32.1
Dhokla,indian-meals.ts,3,VARIANCE,,180.0,466.5,155.5,-13.6,8.0,7.8,-2.3,28.0,21.1,-24.8,4.0,4.4,9.2
Thepla with Yogurt,indian-meals.ts,2,VARIANCE,,320.0,1124.9,562.5,75.8,12.0,31.2,160.2,42.0,99.4,136.8,12.0,12.2,1.3
Misal Pav,indian-meals.ts,1,VARIANCE,,380.0,362.5,362.5,-4.6,16.0,14.8,-7.7,52.0,61.4,18.1,11.0,9.0,-17.9
Gujarati Dal + Rice + Sabzi,indian-meals.ts,1,VARIANCE,,420.0,611.3,611.3,45.6,16.0,18.3,14.4,65.0,115.1,77.1,10.0,9.5,-4.8
Goan Fish Curry + Rice,indian-meals.ts,1,VARIANCE,,450.0,656.4,656.4,45.9,32.0,47.8,49.4,40.0,47.9,19.8,18.0,33.3,85.2
Pav Bhaji,indian-meals.ts,1,VARIANCE,,420.0,698.1,698.1,66.2,12.0,22.7,89.0,58.0,141.8,144.5,17.0,8.8,-48.3
Undhiyu (Gujarati Mixed Veg),indian-meals.ts,1,VARIANCE,,310.0,1003.3,1003.3,223.6,10.0,41.3,313.1,45.0,212.4,372.1,10.0,14.1,40.9
Kolhapuri Chicken,indian-meals.ts,2,VARIANCE,,380.0,794.3,397.2,4.5,35.0,23.5,-32.8,15.0,20.7,38.3,22.0,25.6,16.2
Khandvi,indian-meals.ts,3,VARIANCE,,150.0,363.1,121.0,-19.3,7.0,6.6,-6.1,18.0,13.8,-23.3,5.0,4.6,-8.1
Baked Vada Pav Bites,indian-meals.ts,2,VARIANCE,,200.0,828.0,414.0,107.0,5.0,11.9,137.1,32.0,81.3,154.1,6.0,5.3,-11.9
Luchi with Cholar Dal,indian-meals.ts,1,VARIANCE,,340.0,933.7,933.7,174.6,14.0,34.0,142.7,55.0,165.1,200.1,9.0,15.8,75.2
Pitha (Rice Flour Pancakes),indian-meals.ts,2,API_FAIL,Edamam returned no data,250.0,,,,4.0,,,48.0,,,5.0,,
Aloo Posto (Potatoes in Poppy Seed Paste),indian-meals.ts,2,VARIANCE,,330.0,657.8,328.9,-0.3,14.0,12.1,-13.9,38.0,45.0,18.4,15.0,12.5,-16.9
Machher Jhol (Bengali Fish Curry) + Rice,indian-meals.ts,1,VARIANCE,,430.0,575.2,575.2,33.8,30.0,50.3,67.6,42.0,75.6,80.0,16.0,9.6,-39.8
Dal Pakhala (Fermented Rice with Lentils),indian-meals.ts,1,VARIANCE,,350.0,298.4,298.4,-14.7,12.0,7.6,-36.9,60.0,61.4,2.3,6.0,3.1,-48.8
"Assamese Thali (Dal, Xaak, Rice, Fish)",indian-meals.ts,1,VARIANCE,,480.0,464.6,464.6,-3.2,28.0,36.6,30.7,55.0,65.8,19.6,16.0,7.4,-53.9
Shorshe Ilish (Hilsa in Mustard Sauce),indian-meals.ts,2,VARIANCE,,320.0,664.7,332.3,3.9,28.0,23.9,-14.8,12.0,9.9,-17.5,16.0,22.3,39.5
Aloo Dum (Bengali Style Spiced Baby Potatoes),indian-meals.ts,4,VARIANCE,,300.0,666.1,166.5,-44.5,6.0,4.4,-27.1,48.0,35.6,-25.9,10.0,1.6,-84.3
Jhalmuri (Spiced Puffed Rice),indian-meals.ts,4,VARIANCE,,120.0,253.9,63.5,-47.1,3.0,1.5,-50.9,22.0,9.7,-56.1,3.0,2.3,-22.1
Sandesh (Bengali Cottage Cheese Sweet),indian-meals.ts,4,VARIANCE,,130.0,335.9,84.0,-35.4,8.0,6.4,-19.8,16.0,8.6,-46.5,4.0,2.7,-31.7
Scrambled Eggs & Toast,meals.ts,1,VARIANCE,,420.0,478.0,478.0,13.8,25.0,27.0,7.9,35.0,28.5,-18.5,20.0,28.0,40.1
Greek Yogurt Parfait,meals.ts,1,VARIANCE,,350.0,513.1,513.1,46.6,25.0,27.2,8.7,40.0,48.0,19.9,10.0,25.4,153.9
Oatmeal with Banana & Peanut Butter,meals.ts,1,VARIANCE,,450.0,352.3,352.3,-21.7,15.0,10.4,-30.9,60.0,58.8,-2.0,16.0,11.4,-28.9
Protein Smoothie,meals.ts,1,VARIANCE,,300.0,316.5,316.5,5.5,30.0,27.8,-7.2,30.0,42.8,42.7,5.0,5.5,10.9
Avocado Toast with Eggs,meals.ts,1,VARIANCE,,480.0,1222.0,1222.0,154.6,22.0,46.7,112.1,35.0,162.5,364.4,28.0,45.8,63.6
Bacon & Egg Wrap,meals.ts,1,VARIANCE,,500.0,669.1,669.1,33.8,30.0,31.9,6.4,30.0,31.9,6.4,28.0,45.3,61.8
Keto Egg Cups,meals.ts,1,VARIANCE,,350.0,914.6,914.6,161.3,28.0,70.3,151.2,4.0,5.2,31.1,25.0,66.4,165.6
Tofu Scramble,meals.ts,1,VARIANCE,,320.0,430.6,430.6,34.6,22.0,37.1,68.7,15.0,17.1,13.8,18.0,28.4,57.6
Smoked Salmon Bagel,meals.ts,1,VARIANCE,,400.0,437.1,437.1,9.3,25.0,22.9,-8.3,30.0,55.3,84.4,18.0,13.8,-23.5
Overnight Oats,meals.ts,1,VARIANCE,,400.0,444.4,444.4,11.1,15.0,14.6,-2.9,55.0,59.2,7.6,14.0,19.2,36.8
Cottage Cheese Bowl,meals.ts,1,VARIANCE,,280.0,283.2,283.2,1.2,28.0,25.4,-9.1,25.0,24.2,-3.1,6.0,9.8,62.9
Banana Pancakes,meals.ts,1,OK,,350.0,318.4,318.4,-9.0,15.0,14.1,-6.1,45.0,45.2,0.4,12.0,10.2,-14.9
Grilled Chicken & Rice,meals.ts,1,VARIANCE,,504.0,601.7,601.7,19.4,40.0,45.5,13.8,50.0,60.5,20.9,16.0,18.7,16.9
Turkey Sandwich,meals.ts,1,VARIANCE,,420.0,339.5,339.5,-19.2,30.0,33.5,11.8,40.0,28.9,-27.8,14.0,9.5,-31.9
Tuna Salad Bowl,meals.ts,1,VARIANCE,,380.0,191.1,191.1,-49.7,35.0,35.9,2.6,15.0,4.9,-67.4,18.0,3.7,-79.5
Chicken Caesar Wrap,meals.ts,1,API_FAIL,Edamam returned no data,520.0,,,,35.0,,,38.0,,,22.0,,
Beef Stir Fry,meals.ts,1,VARIANCE,,550.0,730.6,730.6,32.8,35.0,42.0,19.9,55.0,79.4,44.4,18.0,26.0,44.4
Lentil Soup & Bread,meals.ts,1,VARIANCE,,400.0,939.8,939.8,135.0,22.0,52.2,137.1,55.0,150.1,172.9,8.0,17.4,117.4
Salmon Poke Bowl,meals.ts,1,VARIANCE,,520.0,733.6,733.6,41.1,32.0,41.6,30.1,50.0,58.1,16.1,20.0,37.8,89.0
Black Bean Burrito Bowl,meals.ts,1,VARIANCE,,550.0,673.4,673.4,22.4,20.0,22.0,10.0,70.0,109.2,56.0,18.0,18.7,4.0
Grilled Chicken Salad,meals.ts,1,VARIANCE,,400.0,375.1,375.1,-6.2,35.0,38.4,9.9,15.0,14.7,-2.1,22.0,18.1,-18.0
Veggie Stir Fry with Tofu,meals.ts,1,VARIANCE,,480.0,709.8,709.8,47.9,22.0,39.7,80.5,55.0,80.2,45.9,16.0,28.9,80.7
Shrimp Tacos,meals.ts,1,VARIANCE,,450.0,478.8,478.8,6.4,30.0,39.7,32.2,40.0,43.2,8.0,18.0,18.7,4.1
Mediterranean Plate,meals.ts,1,API_FAIL,Edamam returned no data,520.0,,,,18.0,,,55.0,,,24.0,,
Chicken Quesadilla,meals.ts,1,VARIANCE,,500.0,590.3,590.3,18.1,32.0,35.2,9.9,35.0,33.9,-3.1,24.0,34.6,44.2
Keto Burger Bowl,meals.ts,1,VARIANCE,,480.0,527.6,527.6,9.9,35.0,33.3,-4.9,8.0,12.2,52.6,34.0,38.7,13.7
Baked Salmon with Sweet Potato,meals.ts,1,VARIANCE,,546.0,628.5,628.5,15.1,38.0,39.0,2.8,40.0,37.1,-7.2,26.0,36.7,41.2
Chicken Breast with Quinoa,meals.ts,1,VARIANCE,,519.0,703.3,703.3,35.5,42.0,53.9,28.3,45.0,68.5,52.2,19.0,24.2,27.2
Pasta with Meat Sauce,meals.ts,1,VARIANCE,,604.0,647.9,647.9,7.3,32.0,36.4,13.8,65.0,53.0,-18.4,24.0,33.9,41.1
Steak with Roasted Vegetables,meals.ts,1,VARIANCE,,581.0,668.4,668.4,15.0,45.0,40.2,-10.7,35.0,41.8,19.3,29.0,38.4,32.3
Vegetable Curry with Rice,meals.ts,1,VARIANCE,,500.0,1385.6,1385.6,177.1,14.0,23.7,69.2,65.0,98.7,51.9,20.0,106.9,434.3
Grilled Fish Tacos,meals.ts,1,VARIANCE,,480.0,542.4,542.4,13.0,32.0,42.0,31.1,40.0,52.3,30.8,20.0,22.2,11.2
Chicken Thigh with Mashed Potatoes,meals.ts,1,VARIANCE,,580.0,1473.9,1473.9,154.1,35.0,78.1,123.1,45.0,87.7,94.8,28.0,89.7,220.5
Tofu Pad Thai,meals.ts,1,VARIANCE,,500.0,890.1,890.1,78.0,20.0,41.1,105.5,60.0,101.9,69.9,18.0,37.8,110.2
Stuffed Bell Peppers,meals.ts,1,VARIANCE,,450.0,484.7,484.7,7.7,30.0,34.9,16.4,40.0,46.4,15.9,16.0,19.5,21.8
Pesto Pasta with Chicken,meals.ts,1,VARIANCE,,580.0,562.7,562.7,-3.0,35.0,48.3,38.1,55.0,48.7,-11.4,24.0,18.1,-24.6
Bean & Cheese Enchiladas,meals.ts,1,VARIANCE,,520.0,786.1,786.1,51.2,22.0,36.8,67.1,55.0,103.4,88.0,22.0,26.9,22.3
Keto Chicken Alfredo,meals.ts,1,VARIANCE,,480.0,656.7,656.7,36.8,38.0,51.9,36.5,10.0,16.5,64.7,32.0,43.4,35.6
Shrimp & Grits,meals.ts,1,VARIANCE,,520.0,683.3,683.3,31.4,30.0,42.7,42.4,45.0,66.7,48.3,22.0,27.3,24.0
Chickpea & Spinach Stew,meals.ts,1,VARIANCE,,420.0,630.5,630.5,50.1,18.0,25.3,40.6,55.0,86.9,58.1,12.0,23.1,92.2
Protein Bar,meals.ts,1,API_FAIL,Edamam returned no data,250.0,,,,20.0,,,25.0,,,8.0,,
Apple & Peanut Butter,meals.ts,1,OK,,280.0,286.0,286.0,2.1,8.0,7.6,-5.3,30.0,32.3,7.5,16.0,16.8,4.7
Greek Yogurt & Honey,meals.ts,1,VARIANCE,,180.0,272.0,272.0,51.1,18.0,21.0,16.9,20.0,15.3,-23.4,3.0,15.3,408.8
Trail Mix,meals.ts,1,VARIANCE,,300.0,277.2,277.2,-7.6,10.0,7.0,-29.8,25.0,24.5,-2.1,20.0,19.2,-3.9
String Cheese & Crackers,meals.ts,1,VARIANCE,,220.0,330.1,330.1,50.0,14.0,15.8,12.7,18.0,26.2,45.8,10.0,18.8,88.3
Hard Boiled Eggs,meals.ts,1,VARIANCE,,160.0,143.4,143.4,-10.4,12.0,12.6,5.1,2.0,0.8,-59.4,10.0,9.5,-4.9
Hummus & Veggies,meals.ts,1,VARIANCE,,200.0,197.4,197.4,-1.3,8.0,6.5,-18.8,22.0,21.0,-4.4,10.0,11.4,14.1
Beef Jerky,meals.ts,1,VARIANCE,,120.0,116.2,116.2,-3.1,15.0,9.4,-37.3,5.0,3.1,-37.6,4.0,7.3,81.4
Rice Cake with Almond Butter,meals.ts,1,VARIANCE,,200.0,184.6,184.6,-7.7,6.0,4.7,-21.2,25.0,23.5,-5.9,10.0,9.3,-6.8
Edamame,meals.ts,1,VARIANCE,,190.0,128.6,128.6,-32.3,18.0,13.2,-26.6,14.0,9.0,-35.9,8.0,5.6,-30.2
